Rock_Type,Date,Rainfall,Slope_Angle,NDVI,Change_in_NDVI,Soil_Moisture,Blast_Vibration,Seismic_Vibration
Igneous,2023-01-12,13.78,26.4,0.62,-0.02,29.28,0.064,0.033
Igneous,2025-05-06,22.7,22.56,0.3,-0.047,24.69,0.286,0.01
Metamorphic,2021-01-23,40.24,27.37,0.62,-0.005,21.11,0.033,0.037
Sedimentary,2024-10-13,7.57,45.03,0.21,-0.012,30.15,0.093,0.037
Igneous,2024-12-05,44.97,17.89,0.45,0.015,20.12,0.152,0.021
Metamorphic,2021-07-09,17.85,13.03,0.6,0.043,10.68,0.273,0.022
Igneous,2023-06-09,48.28,5.96,0.27,0.026,12.44,0.276,0.019
Igneous,2024-08-06,18.56,65.35,0.66,-0.033,26.75,0.175,0.029
Metamorphic,2025-07-23,37.61,11.22,0.12,0.044,20.6,0.037,0.04
Metamorphic,2021-05-13,10.1,17.7,0.58,-0.014,27.38,0.168,0.004
Igneous,2020-12-08,1.87,37.1,0.44,0.042,35.63,0.299,0.001
Metamorphic,2025-03-25,8.97,40.84,0.51,-0.037,28.48,0.192,0.035
Sedimentary,2023-07-19,5.47,18.81,0.61,0.003,19.41,0.051,0.048
Metamorphic,2024-10-07,19.01,53.83,0.41,-0.034,22.5,0.132,0.031
Sedimentary,2021-04-15,18.92,5.01,0.28,-0.008,31.21,0.27,0.023
Metamorphic,2025-09-09,36.17,24.51,0.38,-0.003,13.17,0.131,0.043
Igneous,2023-06-19,25.49,54.12,0.3,-0.041,38.01,0.176,0.009
Metamorphic,2023-12-31,43.21,49.62,0.7,0.036,20.19,0.298,0.009
Sedimentary,2022-10-14,20.88,12.67,0.31,0.037,16.62,0.016,0.031
Sedimentary,2020-11-13,35.94,18.15,0.67,0.037,25.54,0.035,0.008
Igneous,2024-08-12,14.49,11.81,0.38,0.024,14.16,0.225,0.036
Sedimentary,2020-11-15,5.45,54.94,0.69,0.032,35.64,0.083,0.01
Metamorphic,2023-10-04,12.38,21.75,0.7,-0.049,37.28,0.165,0.029
Metamorphic,2020-12-27,27.51,26.49,0.23,-0.034,19.15,0.036,0.024
Igneous,2022-03-12,39.45,31.7,0.1,0.03,19.27,0.093,0.0
Sedimentary,2025-05-16,45.59,45.02,0.29,0.034,27.19,0.009,0.037
Igneous,2022-01-17,30.82,37.78,0.12,-0.033,12.3,0.011,0.009
Metamorphic,2021-07-10,29.24,21.65,0.57,-0.003,20.45,0.251,0.017
Igneous,2021-03-11,28.11,66.62,0.16,-0.037,16.93,0.177,0.029
Igneous,2023-10-23,5.57,39.92,0.23,-0.038,26.7,0.256,0.014
Igneous,2020-09-20,21.93,57.09,0.43,0.003,11.85,0.256,0.029
Igneous,2022-08-07,25.08,39.89,0.25,0.03,21.98,0.192,0.006
Metamorphic,2025-06-22,9.52,36.38,0.17,-0.02,15.63,0.202,0.004
Metamorphic,2023-08-14,22.2,57.05,0.37,0.049,26.72,0.065,0.045
Sedimentary,2021-04-08,3.5,60.57,0.47,0.031,15.11,0.238,0.013
Metamorphic,2020-12-23,31.63,55.79,0.67,-0.036,29.53,0.15,0.028
Sedimentary,2024-08-05,1.97,18.33,0.29,-0.034,35.78,0.271,0.002
Metamorphic,2023-06-21,13.04,57.3,0.31,-0.021,10.15,0.068,0.015
Igneous,2023-03-21,31.27,17.39,0.26,0.044,35.34,0.048,0.04
Sedimentary,2020-11-26,37.75,54.43,0.29,0.023,15.36,0.15,0.034
Igneous,2024-07-13,2.25,55.54,0.22,0.047,29.29,0.038,0.047
Metamorphic,2021-06-09,40.25,65.84,0.43,-0.024,19.17,0.011,0.035
Sedimentary,2020-11-16,22.08,35.85,0.69,-0.047,23.38,0.01,0.046
Igneous,2025-08-15,32.83,35.12,0.25,0.022,10.68,0.277,0.035
Sedimentary,2022-04-26,36.38,45.94,0.39,-0.034,15.78,0.072,0.049
Metamorphic,2023-09-30,25.78,6.46,0.14,-0.029,35.59,0.073,0.002
Sedimentary,2024-02-01,28.39,37.89,0.21,-0.026,33.41,0.108,0.039
Sedimentary,2025-03-10,3.34,46.89,0.33,-0.049,10.03,0.142,0.033
Sedimentary,2022-09-20,24.11,53.14,0.45,0.005,28.53,0.22,0.007
Igneous,2024-01-18,8.7,61.87,0.64,0.009,15.3,0.106,0.049
Igneous,2023-08-14,43.69,44.58,0.6,-0.031,30.82,0.084,0.026
Igneous,2024-08-04,7.7,55.51,0.12,-0.027,13.89,0.053,0.05
Metamorphic,2021-10-30,48.4,57.17,0.35,0.044,32.65,0.184,0.004
Sedimentary,2024-10-25,38.76,9.39,0.14,0.017,21.19,0.075,0.009
Sedimentary,2024-06-21,45.24,54.88,0.19,0.042,16.67,0.294,0.046
Igneous,2022-09-18,22.35,18.78,0.39,0.021,37.9,0.01,0.031
Metamorphic,2025-08-22,23.87,37.8,0.26,0.032,32.13,0.295,0.017
Igneous,2022-10-17,31.1,12.44,0.26,-0.049,28.71,0.132,0.014
Metamorphic,2023-05-30,30.52,50.21,0.52,-0.01,15.37,0.245,0.037
Metamorphic,2025-07-23,37.38,47.45,0.22,-0.021,17.34,0.244,0.022
Metamorphic,2025-04-30,16.2,51.17,0.22,-0.028,25.47,0.231,0.041
Sedimentary,2024-12-20,19.79,30.19,0.54,0.04,17.04,0.135,0.043
Metamorphic,2022-06-09,1.43,51.96,0.58,-0.014,26.81,0.235,0.047
Metamorphic,2025-04-02,17.91,64.15,0.11,0.0,34.49,0.228,0.005
Igneous,2022-10-31,15.52,49.59,0.38,-0.001,15.03,0.194,0.048
Metamorphic,2025-03-30,23.47,7.98,0.53,-0.033,31.95,0.083,0.012
Metamorphic,2021-05-09,26.21,27.22,0.63,0.046,37.26,0.291,0.049
